Date,Open,High,Low,Close,Adj Close,Volume
10/29/19,80.699997,80.769997,79.959999,80.330002,79.441383,1643500
10/30/19,80.410004,81.440002,80.139999,80.949997,80.05452,2220600
10/31/19,80.790001,80.980003,80.330002,80.769997,79.876511,2402600
11/1/19,80.339996,80.519997,79.269997,79.360001,78.482109,1862200
11/4/19,79.519997,79.540001,78.769997,79.419998,78.541443,2009000
11/5/19,79.449997,79.580002,78.790001,79.099998,78.224983,1993800
11/6/19,79.510002,79.660004,79.110001,79.330002,78.452438,916900
11/7/19,78.709999,78.809998,77.900002,78.379997,77.512947,1237800
11/8/19,78.339996,78.510002,78.040001,78.480003,77.611847,1051600
11/11/19,78.309998,78.900002,78.220001,78.709999,77.839294,722800
11/12/19,79.760002,79.839996,78.919998,79.080002,78.205208,1099700
11/13/19,80.25,80.25,79.099998,79.279999,78.402992,1977200
11/14/19,79.519997,79.779999,78.830002,79.110001,78.234871,1948000
11/15/19,79.07,79.800003,79.019997,79.650002,78.768898,748300
11/18/19,79.959999,80.599998,79.779999,80.050003,79.164474,865300
11/19/19,79.5,79.599998,79.120003,79.190002,79.190002,950100
11/20/19,78.669998,78.980003,78.209999,78.43,78.43,702600
11/21/19,78.830002,78.900002,78.300003,78.57,78.57,647200
11/22/19,79.300003,79.419998,78.650002,79.080002,79.080002,947700
11/25/19,78.879997,79.410004,78.879997,79.089996,79.089996,631700
11/26/19,79.110001,79.279999,78.690002,79.050003,79.050003,1015300
11/27/19,78.440002,78.959999,78.25,78.580002,78.580002,1644800
11/29/19,79.370003,79.480003,79.07,79.349998,79.349998,590400
12/2/19,79.43,79.57,78.769997,79.279999,79.279999,834100
12/3/19,78.75,79.040001,78.43,78.919998,78.919998,886200
12/4/19,79.400002,79.629997,79.110001,79.400002,79.400002,789400
12/5/19,79.089996,79.220001,78.349998,78.629997,78.629997,544800
12/6/19,78.940002,79.589996,78.730003,79.360001,79.360001,722200
12/9/19,78.699997,79.129997,78.699997,78.900002,78.900002,587600
12/10/19,77.760002,78.470001,77.610001,78.150002,78.150002,1135800
12/11/19,78.089996,78.870003,78.059998,78.769997,78.769997,691600
12/12/19,77.18,78.230003,76.900002,77.769997,77.769997,1393700
12/13/19,78.199997,78.449997,77.830002,77.910004,77.910004,942900
12/16/19,79.550003,80.18,79.309998,80.010002,80.010002,1362800
12/17/19,79.550003,79.639999,79.220001,79.510002,79.510002,772600
12/18/19,80.5,80.519997,79.790001,80.480003,80.480003,1936800
12/19/19,80.279999,80.540001,79.970001,80.510002,80.510002,934600
12/20/19,81.209999,82.110001,81.18,81.989998,81.989998,1257700
12/23/19,82.43,82.57,81.839996,81.860001,81.860001,999300
12/24/19,81.660004,82.110001,81.370003,81.610001,81.610001,350100
12/26/19,81.550003,82.449997,81.550003,82.370003,82.370003,612900
12/27/19,83,83.349998,82.889999,83.120003,83.120003,794900
12/30/19,82.639999,82.940002,82.279999,82.379997,82.379997,697100
12/31/19,82,82.199997,81.830002,82.040001,82.040001,804700
1/2/20,82.760002,83.540001,82.709999,83.449997,83.449997,920500
1/3/20,82.300003,83.18,82.300003,82.75,82.75,794500
1/6/20,83.160004,83.470001,82.93,83.330002,83.330002,857400
1/7/20,82.879997,82.889999,81.080002,81.610001,81.610001,1221800
1/8/20,81.610001,82.5,81.339996,81.980003,81.980003,997600
1/9/20,82.150002,82.230003,80.949997,80.980003,80.980003,1202400
1/10/20,81.370003,82.029999,81.290001,81.489998,81.489998,811700
1/13/20,80.449997,81.279999,80.160004,81.279999,81.279999,958700
1/14/20,80,80.540001,79.900002,80.010002,80.010002,1094700
1/15/20,80.25,80.43,79.860001,80.169998,80.169998,1301400
1/16/20,79.540001,79.949997,79.540001,79.669998,79.669998,1228400
1/17/20,80.089996,80.279999,79.709999,80.029999,80.029999,801600
1/21/20,78.919998,79.190002,78.639999,78.809998,78.809998,1270100
1/22/20,78.400002,78.43,77.980003,78.110001,78.110001,1117600
1/23/20,77.82,78.290001,77.269997,78.260002,78.260002,1250300
1/24/20,78.040001,78.470001,77.260002,77.739998,77.739998,1026300
1/27/20,75.440002,75.910004,75.309998,75.580002,75.580002,1341000
1/28/20,75.370003,76.550003,75.290001,76.260002,76.260002,1147500
1/29/20,76.099998,76.440002,75.809998,75.970001,75.970001,811900
1/30/20,75.5,76.209999,75.330002,76.169998,76.169998,927000
1/31/20,75.860001,75.959999,75.059998,75.300003,75.300003,1050800
2/3/20,75.239998,75.879997,75.029999,75.089996,75.089996,914800
2/4/20,76.110001,76.709999,75.970001,76.290001,76.290001,980100
2/5/20,76.559998,76.980003,76.510002,76.669998,76.669998,833100
2/6/20,76.790001,76.860001,76.470001,76.57,76.57,640800
2/7/20,74.760002,75.080002,74.379997,74.800003,74.800003,1557000
2/10/20,74.139999,74.68,73.980003,74.589996,74.589996,929300
2/11/20,74,74.339996,73.919998,74.029999,74.029999,1414400
2/12/20,74.199997,74.550003,73.879997,74.059998,74.059998,1341500
2/13/20,73.129997,74.110001,72.900002,73.699997,73.699997,1370400
2/14/20,73.82,73.910004,73.209999,73.449997,73.449997,943100
2/18/20,73.089996,73.699997,73.07,73.5,73.5,1073400
2/19/20,73.459999,73.730003,73.160004,73.599998,73.599998,877400
2/20/20,73.529999,73.779999,72.709999,73.260002,73.260002,1008100
2/21/20,71.900002,72.120003,71.43,71.599998,71.599998,1933000
2/24/20,68.790001,70.040001,68.779999,69.360001,69.360001,2308900
2/25/20,68.089996,68.580002,66.769997,66.919998,66.919998,2412500
2/26/20,67,67.730003,66.25,66.290001,66.290001,1970000
2/27/20,60.650002,62.380001,60.200001,60.209999,60.209999,6304500
2/28/20,56.360001,58.57,55.400002,58.369999,58.369999,9497000
3/2/20,57.48,58.66,57.009998,58.599998,58.599998,5376600
3/3/20,57.080002,58.169998,56.259998,56.650002,56.650002,3162700
3/4/20,57.59,57.849998,56.490002,57.810001,57.810001,2160300
3/5/20,56.380001,56.3997,55.029999,55.57,55.57,3670899
